SectionID,Highway,DIR,LHRS,Offset,FROM_Distance,TO_Distance,PCI,DMI,IRI,Pave_Type,Pavement_Section_From,Pavement_Section_To,Latitude,Longitude,FUNC_CLASS
100410,QEW,N,10109,1.273,96.332,101.661,87.44,9.08,1.07,AC,NORTH END BURLINGTON SKYWAY,BRANT ST IC,43.30896594,-79.80313856,FWY
100420,QEW,S,10109,1.273,96.332,101.661,87.65,9.11,1.08,AC,BRANT ST IC,NORTH END BURLINGTON SKYWAY,43.3418502,-79.82243694,FWY
100430,QEW,E,10121,0,101.661,104.426,87.31,9.01,1,AC,BRANT ST IC,0.9 KM E OF GUELPH LINE,43.34174369,-79.82195147,FWY
100440,QEW,W,10121,0,101.661,104.426,88.8,9.11,0.92,AC,0.9 KM E OF GUELPH LINE,BRANT ST IC,43.3573212,-79.79830091,FWY
100450,QEW,E,10123,0.9,104.426,109.61,89.73,9.13,0.83,AC,0.9 KM E OF GUELPH LINE,BURLOAK DR IC-109,43.35783695,-79.79724609,FWY
100460,QEW,W,10123,0.9,104.426,109.61,88.59,9.05,0.88,AC,BURLOAK DR IC-109,0.9 KM E OF GUELPH LINE,43.39540849,-79.75658316,FWY
100470,QEW,E,10128,0,109.61,113.653,88.09,9.16,1.08,AC,BURLOAK DR IC-109,THIRD LINE IC-113,43.39518474,-79.75636034,FWY
100480,QEW,W,10128,0,109.61,113.653,88.58,9.16,1.01,AC,THIRD LINE IC-113,BURLOAK DR IC-109,43.42393017,-79.72549913,FWY
100490,QEW,E,10131,0,113.653,119.683,88.62,9.16,1.01,AC,THIRD LINE IC-113,0.8KM E TRAFALGAR RD IC-118,43.42378821,-79.7252041,FWY
100500,QEW,W,10131,0,113.653,119.683,85.34,9.01,1.27,AC,0.8KM E TRAFALGAR RD IC-118,THIRD LINE IC-113,43.46776261,-79.67702745,FWY
100510,QEW,E,10135,0.8,119.683,124.695,75.27,7.92,1.3,AC,0.8KM E TRAFALGAR RD IC-118,WINSTON CHURCHILL BLVD IC-124,43.46689087,-79.67766063,FWY
100520,QEW,W,10135,0.8,119.683,124.695,67.14,7.09,1.39,AC,WINSTON CHURCHILL BLVD IC-124,0.8KM E TRAFALGAR RD IC-118,43.50957775,-79.66403553,FWY
100530,QEW,E,10142,0,124.695,130.876,94.2,9.82,0.89,CO,WINSTON CHURCHILL BLVD IC-124,MISSISSAUGA RD IC-130,43.50964557,-79.66368887,FWY
100540,QEW,W,10142,0,124.695,130.876,90.81,9.37,0.85,CO,MISSISSAUGA RD IC-130,WINSTON CHURCHILL BLVD IC-124,43.55229581,-79.61373678,FWY
100550,QEW,E,10146,0,130.876,139.352,86.72,9.37,1.22,CO,MISSISSAUGA RD IC-130,ETOBICOKE-HWY 427 IC-139,43.55229505,-79.61349787,FWY
100560,QEW,W,10146,0,130.876,139.352,78.38,8.3,1.15,CO,ETOBICOKE-HWY 427 IC-139,MISSISSAUGA RD IC-130,43.61463569,-79.54508438,FWY
100570,2,B,10460,0,0,0.94,70.47,8.22,2.3,AC,HWY 401 IC O'PASS,GANANOQUE E LMT,44.34395309,-76.13182078,LOC
100580,3,B,11715,1.25,5.65,14.622,73.28,7.75,1.36,AC,FT ERIE - ROSE HILL RD,NIAGARA RD 112 - POINT ALBINO RD N,42.90433546,-78.97947965,ART
100590,3,B,11720,3.796,14.622,18.667,76.24,7.91,1.16,AC,NIAGARA RD 112 - POINT ABINO RD N,SHERKSTON RD,42.90174343,-79.09425937,ART
100600,3,B,11720,7.841,18.667,21.191,73.63,7.66,1.21,AC,SHERKSTON RD,EAST JCT NIAGARA RD 5 - KILLALY ST,42.89215107,-79.14383529,ART
100610,3,B,11720,10.365,21.191,26.726,76.48,8.04,1.28,AC,EAST JCT NIAGARA RD 5 - KILLALY ST,HWY 140,42.8925273,-79.18230127,ART
100620,3,B,11740,1.54,30.149,37.236,72.99,7.82,1.49,AC,PORT COLBORNE WEST LIMITS (TOWNLINE RD),NIAGARA REGIONAL RD 3 (LONG BEACH RD),42.89197095,-79.27346345,ART
100630,3,B,11750,0,37.236,53.157,72.42,7.75,1.48,AC,NIAGARA REGIONAL RD 3 - LONG BEACH RD,NIAGARA/HALDIMAND REGIONAL BNDRY,42.89114853,-79.36658107,ART
100640,3,B,11765,0,53.157,61.727,86.4,8.88,0.97,AC,SW Reg Bdry,Dunnville E Lts,42.94514911,-79.49314911,ART
100650,3,B,11770,11,66.457,84.957,88.12,9.23,1.16,AC,Dunnvile W Lts (Haldimand Rd 15),Haldimand Rd 56,42.9086874,-79.63706146,ART
100660,3,B,11800,0,84.957,91.491,81.1,8.41,1.11,AC,Haldimand Rd 56,Cayuga E Lt,42.97082011,-79.76863885,ART
100670,3,B,11810,0.3,92.751,99.711,87,8.8,0.79,AC,Cayuga W Lt,60 m W Dry Lake Rd,42.94943925,-79.85938195,ART
100680,3,B,11810,7.26,99.711,114.151,86.14,8.87,0.99,AC,60 m W Dry Lake Rd,Jarvis E Lt,42.92988026,-79.94186632,ART
100690,3,B,11830,0.4,115.851,124.851,88.94,9.08,0.87,AC,Jarvis W Lt,Norfolk Rd 5 (Renton),42.8837991,-80.11912676,ART
100700,3,B,11840,0,124.851,130.351,75.08,8.28,1.76,AC,Norfolk Rd 5 (Renton),Simcoe E Lts,42.85953824,-80.22026564,ART
100710,3,B,11844,2.3,134.451,148.451,96.41,9.87,0.82,AC,Simcoe W Lts,Delhi S Lts,42.84075955,-80.33141028,ART
100720,3,B,11860,3.9,150.551,160.951,80.7,8.64,1.44,AC,Delhi W Lt,310 m E Elgin Rd 38 (Courtland),42.85532943,-80.51019229,ART
100730,3,B,11870,9.8,160.951,166.251,78.33,8.18,1.21,AC,310 m E Elgin Rd 38 (Courtland),Simcoe St (Oxford Rd 51),42.84363092,-80.62613891,ART
100740,3,B,11890,0,166.251,171.151,84.96,9.03,1.34,AC,Simcoe St (Oxford Rd 51),CNR X-ing Tillsonburg,42.85305351,-80.68973572,ART
100750,3,B,12000,0.5,171.151,185.551,73.48,7.77,1.36,AC,CNR X-ing Tillsonburg,Elgin Rd 40 (Carter Rd),42.84397411,-80.74588171,ART
100760,3,B,12010,5.4,185.551,192.751,91.84,9.42,0.89,AC,Elgin Rd 40 (Carter Rd),Aylmer E Lts,42.76734138,-80.88256795,ART
100770,3,B,12020,1.3,195.051,207.251,82.23,8.48,1.05,AC,Aylmer W Lt,St Thomas W Lt (S Jct Centennial),42.77325411,-80.99796051,ART
100780,3,B,12036,0,207.251,208.451,81.96,8.8,1.47,AC,S Jct Centennial,N Jct Centennial,42.77852263,-81.14625271,ART
100790,3,B,12038,0,208.451,214.351,68.8,8.1,2.38,AC,N Jct Centennial Rd,Elgin Rd 25 (Wellington Rd ),42.78923605,-81.14656155,ART
100800,3,B,12045,0,214.351,218.071,75.51,8.44,1.89,AC,Elgin Rd 25 (Wellington Rd),Jct Hwy 4 (Talbotville),42.80307853,-81.20990677,ART
100810,3,B,12205,0,363.051,369.051,71.75,7.54,1.31,AC,HWY 77,E JCT ESSEX REG RD 34,42.06810214,-82.59862733,ART
100820,3,B,12209,0,369.051,373.951,57.57,7.83,2.98,PC,E JCT ESSEX REG RD 34,0.8 KM W OF UPCOTT SDRD,42.06892678,-82.67070016,ART
100830,3,B,12209,4.9,373.951,379.151,58.9,7.66,2.43,CO,0.8 KM W OF UPCOTT SDRD,0.5 KM W OF ESSEX RD 27,42.08689021,-82.71963615,ART
100840,3,B,12219,0.5,379.151,384.551,68.43,7.52,1.73,AC,0.5 KM W OF ESSEX RD 27,0.3 KM E OF ESSEX RD 23,42.12262719,-82.76038252,ART
100850,3,B,12219,5.9,384.551,387.737,79.8,8.65,1.57,AC,0.3 KM E OF ESSEX RD 23,0.914KM E OF ESSEX ROAD 8,42.15344303,-82.81130118,ART
100860,3,E,12229,2.886,387.737,395.077,86.04,9.85,1.67,PC,0.526KM W OF JCT ESSEX RD 34,0.914KM E OF ESSEX ROAD 8,42.21376344,-82.90703517,ART
100870,3,W,12229,2.886,387.737,395.077,86.12,9.85,1.67,PC,0.914KM E OF ESSEX ROAD 8,0.526KM W OF JCT ESSEX RD 34,42.17234426,-82.84238601,ART
100880,3,B,12240,0.526,395.077,401.751,87.12,10,1.67,PC,0.526KM W OF JCT ESSEX RD 34,HWY 401,42.2142976,-82.90838372,ART
100890,3,E,12250,0,401.751,406.13,76.14,8.68,2.1,AC,WINDSOR S LTS - TODD LANE,HWY 401,42.25749227,-83.03832431,ART
100900,3,W,12250,0,401.751,406.13,80.86,9.24,2.14,AC,HWY 401,WINDSOR S LTS - TODD LANE,42.23497268,-82.99399164,ART
100910,4,B,12730,0,19.2,25.5,77.11,8.09,1.26,AC,Talbotville - Jct Hwy 3,Middlesex Rd 35,42.80311557,-81.25246934,ART
100920,4,B,12790,2,50.2,52,73.75,8.33,2,AC,LONDON N LTS-0.6KM N OF SUNNING RD,1.2KM NORTH OF MEDWAY RD,43.04388977,-81.29153925,ART
100930,4,B,12790,3.8,52,56.4,77.56,8.17,1.3,AC,1.2KM NORTH OF MEDWAY RD,ILDERTON RD - MIDDLESEX RD 16,43.06164762,-81.30066714,ART
100940,4,B,12800,0,56.4,64.6,72.79,7.85,1.55,AC,ILDERTON RD - MIDDLESEX RD 16,ELGINFIELD - HWY 7,43.09750331,-81.31907286,ART
100950,4,B,12810,0,64.6,68.6,83.08,8.6,1.08,AC,ELGINFIELD - HWY 7,LUCAN S LTS (CON 4-5),43.16644463,-81.35588718,ART
100960,4,B,12810,6,70.6,88.63,77.12,8.07,1.23,AC,LUCAN N LTS- BIDDULPH RD L 3-4,EXETER S LTS - WATERLOO ST,43.19259145,-81.4137721,ART
100970,4,B,12840,0.3,91.8,103.5,77.9,8.55,1.71,AC,EXETER N. LTS,HURON RD. 12 (KIPPEN),43.36415785,-81.48400531,ART
100980,4,B,12850,4,103.5,118.7,89.39,9.16,0.91,AC,HURON RD. 12 (KIPPEN),CLINTON SOUTH LIMITS,43.47092062,-81.50592424,ART
100990,5,B,13170,0,72.012,84.606,84.51,8.8,1.13,AC,HWY 6 - CLAPPISON COR'S,HWY 8 - PETERS CORS,43.31214335,-79.91800066,ART
101000,6,B,13400,7.65,7.65,20.28,95.26,9.75,0.83,AC,Port Dover Lift Bridge,Jarvis S Lts,42.78588509,-80.19839779,COL
101010,6,B,13420,1.6,22.68,30.38,70.14,7.9,1.96,AC,Jarvis N Lt (300 m S Reg Rd 69),Hagersville S Lt ( Reg Rd 9 ),42.89619224,-80.10746773,ART
101020,6,B,13430,1.6,31.98,43.08,56.34,6.68,2.34,AC,Hagersville N Lt,Caledonia S Lt,42.9679939,-80.04628765,ART
101030,6,B,13446,0,43.08,49.58,71.64,8.01,1.89,AC,Caledonia S Lt,Caledonia N Lt,43.04953694,-79.97430746,ART
101040,6,B,13455,0,49.58,55.681,73.06,8.02,1.72,AC,N JCT HWY 7191,JCT 7273/OLD 6 - NEW 6,43.08963286,-79.94460633,ART
101050,6,B,13465,0,55.681,65.367,76,8.17,1.5,AC,HWY 6/7273 (OLD HWY 6),HWY 403/ GARNER RD,43.1415579,-79.92127855,ART
101060,6,N,13545,0,78.164,81.16,86.5,9.23,1.38,AC,HWY 403 I/C,HWY 5 - CLAPPISON'S CORS,43.29499644,-79.89000987,ART
101070,6,S,13545,0,78.164,81.16,86.64,9.51,1.69,AC,HWY 5 - CLAPPISON'S CORS,HWY 403 I/C,43.31194836,-79.91770677,ART
101080,6,B,13570,0,81.16,87.06,65.79,7.32,1.85,AC,HWY 5 - CLAPPISON'S CORS,1.2 KM N OF HAMILTON RD 543,43.31222698,-79.91755034,ART
101090,6,B,13570,5.9,87.06,95.234,74.56,7.76,1.2,AC,1.2 KM N OF HAMILTON RD 543,1.0 KM N OF HAMILTON RD 97,43.35139652,-79.97116904,ART
101100,6,B,13580,1,95.234,99.717,90.61,9.19,0.78,AC,1.0 KM N OF HAMILITON RD 97,0.3 KM N OF HAMILTON/WELLINGTON BDY,43.40288426,-80.039675,ART
101110,6,B,13585,0.3,99.717,102.661,77.43,8.24,1.4,AC,Reg Bdry (Maddaugh Rd),Morriston (142 m S Reg Rd 36),43.42704234,-80.08262274,ART
101120,6,B,13585,3.244,102.661,104.033,87.28,9.47,1.56,AC,Morriston (142 m S Reg Rd 36),Jct Hwy 401 (IC 299),43.44754518,-80.11602724,ART
101130,6,N,13595,0,108.393,113.473,96.26,9.92,0.9,AC,Hwy 401,Clair Rd,43.44899638,-80.17155011,FWY
101140,6,S,13595,0,108.393,113.473,96.62,9.92,0.85,AC,Clair Rd,Hwy 401,43.48636693,-80.20753259,FWY
101150,6,N,13600,0,113.473,120.043,89.55,9.39,1.16,AC,Clair Rd,Wellington St IC,43.48653988,-80.20736544,FWY
101160,6,S,13600,0,113.473,120.043,89.68,9.39,1.14,AC,Wellington St IC,Clair Rd,43.5269439,-80.26458518,FWY
101170,6,N,13605,0,120.043,123.743,87.17,9.39,1.48,AC,Wellington St IC,Hwy 7,43.52714135,-80.26430012,FWY
101180,6,S,13605,0,120.043,123.743,87.7,9.39,1.41,AC,Hwy 7,Wellington St IC,43.5496101,-80.29846611,FWY
101190,6,B,13615,2.34,126.293,130.313,78.72,8.33,1.33,AC,GUELPH N. LTS.,ELORA RD.-WELLINGTON RD. 7,43.56654377,-80.27810392,ART
101200,6,B,13620,1.06,130.313,143.503,93.29,9.65,0.98,AC,WELLINGTON CTY. RD. 7 (ELORA RD),FERGUS S. LTS. C-LINK,43.59319918,-80.30646355,ART
101210,6,B,13630,1.95,146.503,163.453,89.15,9.23,1.02,AC,FERGUS N. LTS,CONTESTOGA RIVER BRIDGE (ARTHUR),43.7139018,-80.39072915,ART
101220,6,B,13640,2.1,165.393,177.203,86.91,8.88,0.9,AC,ARTHUR N. LTS.,SMOKEY CREEK BRIDGE,43.83665259,-80.55310274,ART
101230,6,B,13650,2.46,177.203,186.183,72.1,7.73,1.5,AC,SMOKEY CREEK BRIDGE,MT FOREST S LTS - BENTLEY ST,43.91164832,-80.64938038,ART
101240,6,B,13665,0,188.793,200.863,69.67,7.5,1.54,AC,MOUNT FOREST N LTS,N GREY RD 9,43.98851922,-80.74519523,ART
101250,6,B,13670,0,200.863,210.173,81.78,8.52,1.15,AC,N GREY RD 9,DURHAM S LTS - DOUGLAS ST,44.08352824,-80.79958852,ART
101260,6,B,13680,1.05,212.413,226.813,86.9,8.97,1.01,AC,DURHAM N LTS - L 24 (WATER TOWER),DORNOCH - GREY RD 25,44.18540561,-80.82100831,ART
101270,6,B,13690,5.55,226.813,242.823,90.29,9.3,0.95,AC,DORNOCH - GREY RD 25,MCNABB ST (CHATSWORTH),44.31236782,-80.85699628,ART
101280,6,B,13710,0,243.373,254.963,90.31,9.99,1.78,AC,HWY 10 - SYDENHAM/TORONTO STS,OWEN SOUND S LTS - FOURTH ST,44.45597886,-80.89805012,ART
101290,6,B,13720,2.72,258.913,261.553,69.68,7.99,2.13,AC,Owen Sound W Lt (9th Ave),Jct Hwy 6&21 (Springmount),44.56623654,-80.96147788,ART
101300,6,B,13742,0,261.553,275.553,90.02,10,1.83,AC,Jct Hwy 6&21 (Springmount),Hepworth,44.55903945,-80.99074848,ART
101310,6,B,13770,0,275.553,286.733,78.68,8.19,1.17,AC,Hepworth,Wiarton S Lt (Elm St),44.63380883,-81.12900918,ART
101320,6,B,13780,3.9,288.733,298.523,87.7,9.05,1,AC,Wiarton N Lt (300 m N Bruce Rd 13),Weirs Rd,44.75348464,-81.14154824,ART
101330,6,B,13790,7.69,298.523,318.363,92.63,9.29,0.63,AC,Weirs Rd,Ferndale (600 m N Bruce Rd 9),44.808966,-81.2058436,ART
101340,6,B,13800,0.6,318.363,333.603,84.37,8.78,1.12,AC,Ferndale (600 m N Bruce Rd 9),Lindsay Twp Rd 20,44.97668253,-81.29007927,ART
101350,6,B,13800,15.84,333.603,363.863,90.78,9.35,0.95,AC,Lindsay Twp 20,Tobermory (End of Hwy),45.07059322,-81.41593785,ART
101360,6,B,13830,0,363.863,387.729,80.61,8.33,1.08,AC,SOUTH BAYMOUTH FERRY DOCK,0.8 KM NORTH OF COWAN'S SIDE ROAD,,,COL
101370,6,B,13840,11,387.729,409.911,80.64,8.25,0.98,AC,0.8 KM N OF COWAN'S SIDEROAD,0.3 KM S OF 10 MILE POINT LOOKOUT,45.68855044,-81.85750787,COL
101380,6,B,13860,0.5,409.911,427.011,67.5,8.15,2.61,AC,0.3 KM S OF 10 MILE POINT LOOKOUT,LITTLE CURRENT S LIMITS,45.87302248,-81.85043564,COL
101390,6,B,13870,0.9,428.711,431.111,64.9,7.52,2.2,AC,LITTLE CURRENT SWING BRIDGE,2.4 KM N OF LITTLE CURRENT SWING BRIDGE,45.99453008,-81.89366466,COL
101400,6,B,13870,3.3,431.111,447.211,70.31,7.7,1.7,AC,2.4 KM N OF LITTLE CURRENT SWING BRIDGE,18.5 KM N OF LITTLE CURRENT SWING BRIDGE,,,COL
101410,6,B,13870,19.4,447.211,459.653,78.99,8.32,1.29,AC,18.5 KM N OF LITTLE CURRENT SWING BRIDGE,2KM S OF FOX LAKE RD.,46.06929403,-81.7655946,COL
101420,6,B,13880,6.969,459.653,473.315,89.4,9.21,0.97,AC,2KM S OF FOX LAKE RD.,FOSTER DR (PARK ENT) W ESPANOLA,46.14063333,-81.74579066,COL
101430,6,B,13890,3.9,477.215,479.915,57.39,7.36,3.01,AC,TUDHOPE ST,HWY 17,46.26509595,-81.77048822,COL
101440,7A,B,14900,0,0,10.9,90.22,9.34,1.01,AC,HWY 115 IC,W LT BETHANY LONGFIELD DR,44.20530733,-78.44582299,ART
101450,7A,B,14900,10.9,10.9,17.9,71.63,8.33,2.28,AC,W LT BETHANY,S JCT HWY 35,44.18031845,-78.57557939,ART
101460,7A,B,14920,0,17.9,19.4,84.45,8.95,1.31,AC,S JCT HWY 35,N JCT HWY 35,44.16060135,-78.66011758,ART
101470,7A,B,14930,0,19.4,25.8,70.04,7.93,2.01,AC,N JCT HWY 35,REG BDY NESBITT LINE,44.1736332,-78.6590133,ART
101480,7A,B,14935,0,25.8,33.631,83.13,8.72,1.21,AC,VICT CTY/DURHAM REG BDY,N.JCT DURHAM RD. 57,44.15544567,-78.73481947,ART
101490,7A,B,14935,7.831,33.631,43.846,79.12,8.4,1.36,AC,N.JCT DURHAM RD. 57,PORT PERRY PLAZA,44.13051637,-78.82826063,ART
101500,7A,B,14946,3.655,43.846,48.398,68.72,8.03,2.31,AC,PORT PERRY PLAZA,HWY 7/12-DURHAM RD 21,44.10153796,-78.93745063,ART
101510,7,E,14024,0,0,7.8,85.55,8.89,1.09,AC,1.8KM WEST OF JINKINSON RD,HWY 417 & HWY 17 IC,45.27776931,-75.96295398,FWY
101520,7,W,14024,0,0,7.8,90.63,9.24,0.84,AC,HWY 417 & HWY 17 IC,1.8KM WEST OF JINKINSON RD,45.27776931,-75.96295398,FWY
101530,7,E,14024,7.8,7.8,17.16,90.15,9.16,0.81,AC,1.3KM EAST OF CO. RD 17,1.8KM WEST OF JINKINSON RD,,,FWY
101540,7,W,14024,7.8,7.8,17.16,85.86,8.82,0.97,AC,1.8KM WEST OF JINKINSON RD,1.3KM EAST OF CO. RD 17,,,FWY
101550,7,E,14035,5.33,17.16,21.46,88.1,9.15,1.07,AC,HWY 15 (TO FRANKTOWN RD),1.3KM EAST OF CO. RD 17,,,FWY
101560,7,W,14035,5.33,17.16,21.46,90.92,9.25,0.81,AC,1.3KM EAST OF CO. RD 17,HWY 15 (TO FRANKTOWN RD),,,FWY
101570,7,B,14040,0,21.46,40.58,81.57,8.64,1.33,AC,HWY 15 (TO FRANKTOWN RD),PAUL'S ROAD NORTH,45.12849525,-76.12733834,ART
101580,7,B,14060,6.33,40.58,55.07,84.96,8.87,1.15,AC,PAUL'S RD NORTH,HWY 43(PERTH) WILSON ST,45.02993256,-76.24418017,ART
